id,name,type
aab,Akbar Al-Baker,2
abaak,Ali bin Ahmed Al-Kuwari,2
AJ,Al Jazeera,1
AL,Al Udeid US-Stützpunkt,5
AN,Al Nusra,1
ASR,AS Roma,1
B,Barclays,1
bbmbsat,Bandar bin Mohammed bin Saoud Al-Thani ,2
CH,China,3
CA,Cariton,1
CHEC,China Harboring Engineering Company,1
CL,Concorde Lafayette ,1
CP,ConocoPhillips,1
CPC,Chevron Philipps Chemical,1
CR,China Railway Construction Corp,1
CS,Credit Suisse,1
D,Deutschland,3
DB,Deutsche Bank ,1
dt,Donald Trump,2
e,Tamim bin Hamad Al-Thani ,2
er,Erdogan,2
EX,ExxonMobil,1
F,Frankreich ,3
FCB,FC Bayern München,1
FO,Formel 1,4
G,Glencore,1
GR,The group of 77,1
GB,Großbritannien,3
GCC,Gulf Cooperation Council,1
GRA,Global Risk Advisors,1
H,Harrods,1
HA,Hamas,1
HAA,Hydro Aluminium AS,1
HAH,Heathrow Airport Holdings,1
hbaat,Hassan bin Abdulla Al Thawadi,2
HBK,HBK Contracting ,1
hbkat,Hamad Bin Khalifa Al Thani,2
HDL,Hotel du Louvre,1
HL,Hapag-Lloyd,1
HLA,Hotel Lambrecht ,1
HWM,Handball-WM 2015,4
I,Iran,3
ICAO,International Cicil Aviation,1
ID,Indien,3
IHK,Invest Hong Kong,1
ITA,Italien,3
J,Japan,3
K,Katar,3
L,Lagardere,1
LSE,London Stock Exchange ,1
LWM,Leichtathletik-WM 2019,4
M,Martinez,1
mbaat,Mohammed bin Abdulrahman Al-thani,2
mbhbkat,Mohammed bin Hamad Bin Khalifa Al Thani,2
mbhbqaaat,Mohammed bin Hamad bin Qassim Al-Abdullah Al-Thani,2
mbn,Moza bin Nasser,2
meam,Mansoor Ebrahim Al-Mahmoud,2
MUS,Muslimbruderschaft,1
N,Norwegen ,3
NAM,The Non-Aligned Movement,1
nbgak,Nasser bin Ghanim Al-Khelaifi,2
OECD,Organization for economic Cooperation and Development,1
OIC,Organization of Islamic Cooperation,1
OPEC,Organization of the Petroleum Exporting Countries,1
P,Pulkowo,1
PA,Pakistan,3
PE,Peninsula,1
PF,Petrochemie-Fabrik,1
PO,Porsche,1
POL,Polen,3
PSG,Paris Saint-Germain,1
PT,Printemps,1
Q,Al Quaida,1
QA,Qatar Airways,1
QAE,Qatar Energy,1
QAL,Qatar Aluminium,1
QC,Qatar Charity,1
QE,Qatar Exchange,1
QF,Qatar Foundation,1
QFCA,Qatar Financial Centre Authority,1
QIA,Qatar Investment Authority,1
QNB,Qatar National Bank,1
QT,QTerminals,1
R,Raffles,1
RU,Russland,3
RWE,RWE,1
S,Sainsbury,1
sbsak,Saad bin Sherida Al-Kaabi,2
SCH,Schweiz ,3
SI,Siemens,1
SIN,Sinopec,1
SK,Südkorea,3
T,Türkei,3
TA,Taiwan,3
TAL,Taliban,1
TC,Tiffany & CO,1
TE,Total Energies,1
UN,United Nations,1
UNESCO,"United Nations Educational, Scientific and Cultural Organization",1
USA,USA,3
V,Volkswagen,1
VE,Veolia,1
VFL,VFL Wolfsburg,1
VI,Vinci,1
VIV,Vivendi,1
WM,Weltmeisterschaft Fußball 2022,4
WTO,World Trade Organization,1
