id,name,sex,country,type,party
ek,Eva Kaili,1,Griechenland,1,PASOK
ak,Alexandros Kaili,2,Griechenland,1,0
fg,Francesco Giorgio,2,Italien,1,0
ap,Antonio Panzeri,2,Italien,1,0
sp,Silvia Panzeri,1,Italien,1,0
mc,Maria Colleoni,1,Italien,1,0
lv,Luca Visentini,2,Italien,1,0
mt,Marc Tarabella,2,Belgien,1,Parti Socialiste
ac,Andrea Cozzolino,2,Italien,1,Partito Democratico
aa,Abderrahim Atmoun,2,Marokko,1,0
ma,Maria Arena,1,Belgien,1,Parti Socialiste
am,Alessandra Moretti,1,Italien,1,Partito Democratico
bb,Brando Benifei,2,Italien,1,Partito Democratico
mym,Mohamed Yassine Mansouri,2,Marokko,1,0
FI,Fight Impunity,0,0,2,0
NPWJ,No Peace Without Justice,0,0,2,0
DGED,Marokkanischer Auslandsgeheimdienst DGED,0,0,2,0
SD,Socialists and Democrats,0,0,2,0
EP,EU Parlament,0,0,2,0
IGB,Internationalen Gewerkschaftsbund,0,0,2,0
da,Dimitris Avramopoulos,2,Griechenland,1,0
mb,Mohamed Belahrech,2,Marokko,1,0
mi,Maria Ignatiadou ,1,Griechenland,1,0
QU,Quadrumvirat,0,0,2,0
em,Eldar Mamedov,2,Lettland,1,0
dr,Donatella Rostagno,1,Italien,1,0
ng,Nicola Giovannini,2,Italien,1,0
mrb,Monica Rossana Bellini,1,Italien,1,0
nft,Niccolò Figà-Talamanca,2,Italien,1,0
DAD,Droit au droit,0,0,2,0
